view,regime,rank_band,mean_corr
theme_text,all_sample,rank_001_005,0.0023092683404684
theme_text,all_sample,rank_006_010,0.0019274816149845
theme_text,all_sample,rank_011_020,0.0013045816449448
theme_text,all_sample,rank_021_050,0.0015295841731131
theme_text,all_sample,rank_051_100,0.0008037141524255
theme_text,bull_market,rank_001_005,0.0020783415529876
theme_text,bull_market,rank_006_010,0.0017347334651276
theme_text,bull_market,rank_011_020,0.0011741234920918
theme_text,bull_market,rank_021_050,0.0013766257325187
theme_text,bull_market,rank_051_100,0.0007233427022583
theme_text,bear_market,rank_001_005,0.0027711221482604
theme_text,bear_market,rank_006_010,0.0023129780311137
theme_text,bear_market,rank_011_020,0.001565498067066
theme_text,bear_market,rank_021_050,0.0018355010543018
theme_text,bear_market,rank_051_100,0.0009644569945521
theme_text,high_vol,rank_001_005,0.0027711221482604
theme_text,high_vol,rank_006_010,0.0023129780311137
theme_text,high_vol,rank_011_020,0.001565498067066
theme_text,high_vol,rank_021_050,0.0018355010543018
theme_text,high_vol,rank_051_100,0.0009644569945521
theme_text,low_vol,rank_001_005,0.0020783415529876
theme_text,low_vol,rank_006_010,0.0017347334651276
theme_text,low_vol,rank_011_020,0.0011741234920918
theme_text,low_vol,rank_021_050,0.0013766257325187
theme_text,low_vol,rank_051_100,0.0007233427022583
