view,regime,rank_band,mean_corr
main_business_detail,all_sample,rank_001_005,0.0025814301334321
main_business_detail,all_sample,rank_006_010,0.0019631232134997
main_business_detail,all_sample,rank_011_020,0.0025711327325552
main_business_detail,all_sample,rank_021_050,0.0019691220950335
main_business_detail,all_sample,rank_051_100,0.0005404537660069
main_business_detail,bull_market,rank_001_005,0.0023232870735228
main_business_detail,bull_market,rank_006_010,0.0017668108921498
main_business_detail,bull_market,rank_011_020,0.0023140194825828
main_business_detail,bull_market,rank_021_050,0.0017722098855301
main_business_detail,bull_market,rank_051_100,0.0004864083894062
main_business_detail,bear_market,rank_001_005,0.0030977162532508
main_business_detail,bear_market,rank_006_010,0.0023557478561997
main_business_detail,bear_market,rank_011_020,0.0030853594653308
main_business_detail,bear_market,rank_021_050,0.0023629465140402
main_business_detail,bear_market,rank_051_100,0.0006485445192083
main_business_detail,high_vol,rank_001_005,0.0030977162532508
main_business_detail,high_vol,rank_006_010,0.0023557478561997
main_business_detail,high_vol,rank_011_020,0.0030853594653308
main_business_detail,high_vol,rank_021_050,0.0023629465140402
main_business_detail,high_vol,rank_051_100,0.0006485445192083
main_business_detail,low_vol,rank_001_005,0.0023232870735228
main_business_detail,low_vol,rank_006_010,0.0017668108921498
main_business_detail,low_vol,rank_011_020,0.0023140194825828
main_business_detail,low_vol,rank_021_050,0.0017722098855301
main_business_detail,low_vol,rank_051_100,0.0004864083894062
