view,regime,rank_band,mean_corr
full_text,bull_market,rank_001_005,0.0016857815207913
full_text,bull_market,rank_006_010,0.0021501504816114
full_text,bull_market,rank_011_020,0.0009935986017808
full_text,bull_market,rank_021_050,0.0009009557543322
full_text,bull_market,rank_051_100,0.0014143344014883
full_text,bear_market,rank_001_005,0.0022477088496088
full_text,bear_market,rank_006_010,0.0028668674640357
full_text,bear_market,rank_011_020,0.0013247982133179
full_text,bear_market,rank_021_050,0.0012012744555249
full_text,bear_market,rank_051_100,0.0018857793183997
